ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Nieminen J.,52,88,850,568,6,3,4,6,6,4,,,,,2,1,Completed,1.44,2.62,1.48,2.53,1.533,2.375,1.526,2.74,1.5,2.5,,,,
1,Brisbane,Brisbane International,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Odesnik W.,Clement A.,105,63,521,667,6,4,7,6,,,,,,,2,0,Completed,2.25,1.57,2.2,1.65,2.25,1.571,2.14,1.813,2.25,1.571,,,,
1,Brisbane,Brisbane International,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Gicquel M.,Petzschner P.,58,80,744,587,6,3,6,1,,,,,,,2,0,Completed,1.61,2.2,1.65,2.2,1.667,2.1,1.676,2.36,1.615,2.2,,,,
1,Brisbane,Brisbane International,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Chardy J.,81,32,587,1102,6,4,6,4,,,,,,,2,0,Completed,2.62,1.44,2.58,1.46,2.5,1.5,2.58,1.581,2.5,1.5,,,,
1,Brisbane,Brisbane International,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Levy H.,Llodra M.,119,67,461,649,6,2,6,0,,,,,,,2,0,Completed,3,1.36,2.6,1.46,2.625,1.444,2.17,1.787,3,1.333,,,,
1,Brisbane,Brisbane International,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Bellucci T.,Chela J.I.,36,73,1021,611,6,3,3,6,6,1,,,,,2,1,Completed,1.61,2.2,1.65,2.15,1.615,2.2,1.758,2.22,1.727,2,,,,
1,Brisbane,Brisbane International,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Millman J.,12,306,2625,137,6,4,6,0,,,,,,,2,0,Completed,1.04,10,1.04,9.25,1.04,9,1.087,9.95,1.03,10,,,,
1,Brisbane,Brisbane International,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Luczak P.,7,77,4410,598,7,6,6,2,,,,,,,2,0,Completed,1.08,7,1.13,5.5,1.111,6,1.121,7.83,1.125,5.5,,,,
1,Brisbane,Brisbane International,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Tomic B.,131,286,413,150,6,4,6,4,,,,,,,2,0,Completed,1.72,2,1.7,2.1,1.833,1.833,1.758,2.22,1.727,2,,,,
1,Brisbane,Brisbane International,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Lindahl N.,20,251,1655,179,6,2,6,4,,,,,,,2,0,Completed,1.12,5.5,1.18,4.45,1.16,4.5,1.163,6.26,1.17,4.5,,,,
